//time         ,Q            ,time       ,TSS         ,time        ,VSS       ,time        ,BOD         ,time       ,sBOD       ,time       ,TP        ,time       ,TSP        ,time       ,TKN       ,time       ,sCOD       ,time       ,NH3       ,time       ,NO3
//          ,m^3/day           ,         ,mg/L        ,            ,mg/L       ,           ,mg/L        ,           ,mg/L       ,           ,mg/L       ,          ,mg/L       ,            ,mg/L       ,         ,mg/L       ,           ,mg/L       ,          ,mg/L
40234       ,168071.8       ,40234       ,11.53       ,40234       ,6.6       ,40234       ,14.0       ,40234       ,4.7       ,40234       ,0.2       ,40234       ,0.0       ,40234       ,16.6       ,40234       ,23.0       ,40234       ,11.3       ,40234       ,0.4
40235       ,173451.8       ,40235       ,8.83       ,40235       ,7.2       ,40235       ,12.3       ,40235       ,2.6       ,40235       ,0.2       ,40235       ,0.0       ,40235       ,15.1       ,40235       ,26.2       ,40235       ,14.6       ,40235       ,0.4
40236       ,161366.9       ,40236       ,13.62       ,40236       ,12.6       ,40236       ,       ,40236       ,0.0       ,40236       ,0.2       ,40236       ,0.1       ,40236       ,17.0       ,40236       ,26.2       ,40236       ,12.7       ,40236       ,0.4
40237       ,163671.2       ,40237       ,6.17       ,40237       ,11.2       ,40237       ,14.0       ,40237       ,2.4       ,40237       ,0.2       ,40237       ,0.1       ,40237       ,17.7       ,40237       ,26.3       ,40237       ,11.4       ,40237       ,0.5
40238       ,165729.5       ,40238       ,16.25       ,40238       ,13.7       ,40238       ,19.4       ,40238       ,3.1       ,40238       ,0.2       ,40238       ,0.1       ,40238       ,18.6       ,40238       ,24.8       ,40238       ,11.8       ,40238       ,0.4
40239       ,189059.1       ,40239       ,11.65       ,40239       ,10.3       ,40239       ,14.7       ,40239       ,2.9       ,40239       ,0.3       ,40239       ,0.1       ,40239       ,18.3       ,40239       ,22.1       ,40239       ,12.5       ,40239       ,0.3
40240       ,166590.7       ,40240       ,8.57       ,40240       ,6.4       ,40240       ,22.2       ,40240       ,3.2       ,40240       ,0.3       ,40240       ,0.1       ,40240       ,19.0       ,40240       ,21.9       ,40240       ,13.5       ,40240       ,0.5
40241       ,159166.6       ,40241       ,20.88       ,40241       ,14.8       ,40241       ,39.8       ,40241       ,3.6       ,40241       ,0.3       ,40241       ,0.1       ,40241       ,23.3       ,40241       ,26.9       ,40241       ,13.9       ,40241       ,0.6
40242       ,158925.3       ,40242       ,16.63       ,40242       ,12.7       ,40242       ,23.3       ,40242       ,6.7       ,40242       ,0.5       ,40242       ,0.1       ,40242       ,26.2       ,40242       ,26.2       ,40242       ,14.6       ,40242       ,0.3
40243       ,154647.8       ,40243       ,12.16       ,40243       ,10.0       ,40243       ,23.8       ,40243       ,5.7       ,40243       ,0.3       ,40243       ,0.1       ,40243       ,24.0       ,40243       ,26.2       ,40243       ,13.1       ,40243       ,0.6
40244       ,132543.7       ,40244       ,15.51       ,40244       ,11.3       ,40244       ,21.5       ,40244       ,2.7       ,40244       ,0.3       ,40244       ,0.1       ,40244       ,22.2       ,40244       ,27.2       ,40244       ,12.0       ,40244       ,0.5
40245       ,134537.3       ,40245       ,14.24       ,40245       ,12.1       ,40245       ,23.2       ,40245       ,5.8       ,40245       ,0.3       ,40245       ,0.1       ,40245       ,21.2       ,40245       ,31.8       ,40245       ,11.1       ,40245       ,0.1
40246       ,132051.6       ,40246       ,14.32       ,40246       ,12.2       ,40246       ,22.9       ,40246       ,6.3       ,40246       ,0.5       ,40246       ,0.2       ,40246       ,23.5       ,40246       ,23.0       ,40246       ,17.4       ,40246       ,0.9
40247       ,117903.9       ,40247       ,29.85       ,40247       ,21.4       ,40247       ,28.2       ,40247       ,6.7       ,40247       ,0.6       ,40247       ,0.1       ,40247       ,20.8       ,40247       ,24.3       ,40247       ,17.7       ,40247       ,0.9
40248       ,118168.8       ,40248       ,22.05       ,40248       ,18.5       ,40248       ,20.8       ,40248       ,6.2       ,40248       ,0.4       ,40248       ,0.1       ,40248       ,24.6       ,40248       ,31.6       ,40248       ,18.1       ,40248       ,0.9
40249       ,161617.7       ,40249       ,25.55       ,40249       ,22.1       ,40249       ,21.0       ,40249       ,6.3       ,40249       ,0.6       ,40249       ,0.1       ,40249       ,20.4       ,40249       ,26.2       ,40249       ,15.3       ,40249       ,0.9
40250       ,173310.8       ,40250       ,24.60       ,40250       ,21.1       ,40250       ,14.0       ,40250       ,4.9       ,40250       ,0.8       ,40250       ,0.0       ,40250       ,14.5       ,40250       ,26.2       ,40250       ,10.6       ,40250       ,0.7
40251       ,178360.5       ,40251       ,14.91       ,40251       ,13.2       ,40251       ,15.7       ,40251       ,2.8       ,40251       ,0.4       ,40251       ,0.1       ,40251       ,10.9       ,40251       ,16.5       ,40251       ,8.3       ,40251       ,0.9
40252       ,159441.0       ,40252       ,16.56       ,40252       ,13.9       ,40252       ,11.7       ,40252       ,4.9       ,40252       ,0.4       ,40252       ,0.1       ,40252       ,15.4       ,40252       ,30.9       ,40252       ,11.2       ,40252       ,0.6
40253       ,171525.9       ,40253       ,18.25       ,40253       ,7.4       ,40253       ,6.0       ,40253       ,0.0       ,40253       ,0.3       ,40253       ,0.1       ,40253       ,16.1       ,40253       ,25.9       ,40253       ,12.8       ,40253       ,0.9
40254       ,118734.2       ,40254       ,10.44       ,40254       ,8.0       ,40254       ,11.7       ,40254       ,3.1       ,40254       ,0.3       ,40254       ,0.1       ,40254       ,18.7       ,40254       ,33.8       ,40254       ,15.1       ,40254       ,0.7
40255       ,112412.6       ,40255       ,13.62       ,40255       ,11.8       ,40255       ,16.4       ,40255       ,3.3       ,40255       ,0.5       ,40255       ,0.2       ,40255       ,18.9       ,40255       ,28.4       ,40255       ,15.4       ,40255       ,0.7
40256       ,111800.1       ,40256       ,13.02       ,40256       ,10.3       ,40256       ,18.5       ,40256       ,4.4       ,40256       ,0.4       ,40256       ,0.2       ,40256       ,22.7       ,40256       ,26.2       ,40256       ,15.7       ,40256       ,0.8
40257       ,107877.0       ,40257       ,14.36       ,40257       ,11.7       ,40257       ,13.9       ,40257       ,3.4       ,40257       ,0.3       ,40257       ,0.1       ,40257       ,23.6       ,40257       ,26.2       ,40257       ,17.4       ,40257       ,0.8
40258       ,121673.1       ,40258       ,12.33       ,40258       ,9.0       ,40258       ,16.0       ,40258       ,8.2       ,40258       ,0.3       ,40258       ,0.1       ,40258       ,16.6       ,40258       ,21.0       ,40258       ,14.1       ,40258       ,0.8
40259       ,125899.0       ,40259       ,17.85       ,40259       ,14.3       ,40259       ,28.9       ,40259       ,5.7       ,40259       ,0.5       ,40259       ,0.1       ,40259       ,19.3       ,40259       ,44.6       ,40259       ,14.9       ,40259       ,1.0
40260       ,136472.1       ,40260       ,8.95       ,40260       ,7.0       ,40260       ,15.8       ,40260       ,3.1       ,40260       ,0.3       ,40260       ,       ,40260       ,18.2       ,40260       ,26.3       ,40260       ,14.2       ,40260       ,1.0
40261       ,120182.7       ,40261       ,16.19       ,40261       ,14.0       ,40261       ,17.3       ,40261       ,3.9       ,40261       ,0.3       ,40261       ,0.1       ,40261       ,22.3       ,40261       ,34.6       ,40261       ,15.9       ,40261       ,1.0
40262       ,116113.4       ,40262       ,19.88       ,40262       ,15.8       ,40262       ,13.6       ,40262       ,0.9       ,40262       ,0.4       ,40262       ,0.2       ,40262       ,20.7       ,40262       ,25.9       ,40262       ,17.0       ,40262       ,1.3
40263       ,151908.1       ,40263       ,22.56       ,40263       ,17.4       ,40263       ,25.0       ,40263       ,6.4       ,40263       ,0.6       ,40263       ,0.1       ,40263       ,19.2       ,40263       ,26.2       ,40263       ,16.5       ,40263       ,1.5
40264       ,120848.9       ,40264       ,32.04       ,40264       ,23.7       ,40264       ,20.9       ,40264       ,4.2       ,40264       ,0.8       ,40264       ,0.2       ,40264       ,23.6       ,40264       ,26.2       ,40264       ,12.6       ,40264       ,1.6
40265       ,119667.9       ,40265       ,36.05       ,40265       ,27.1       ,40265       ,25.7       ,40265       ,3.4       ,40265       ,0.8       ,40265       ,0.2       ,40265       ,21.2       ,40265       ,37.4       ,40265       ,12.1       ,40265       ,1.7
40266       ,163305.9       ,40266       ,33.32       ,40266       ,25.2       ,40266       ,33.3       ,40266       ,5.0       ,40266       ,0.7       ,40266       ,0.1       ,40266       ,16.8       ,40266       ,27.5       ,40266       ,9.2       ,40266       ,1.6
40267       ,128537.0       ,40267       ,10.23       ,40267       ,8.1       ,40267       ,12.3       ,40267       ,2.7       ,40267       ,0.4       ,40267       ,0.1       ,40267       ,17.9       ,40267       ,26.0       ,40267       ,10.5       ,40267       ,1.5
40268       ,123616.0       ,40268       ,11.34       ,40268       ,9.3       ,40268       ,16.3       ,40268       ,2.0       ,40268       ,0.3       ,40268       ,0.0       ,40268       ,18.2       ,40268       ,47.5       ,40268       ,11.2       ,40268       ,1.6
40269       ,118517.1       ,40269       ,15.90       ,40269       ,11.6       ,40269       ,18.6       ,40269       ,3.0       ,40269       ,0.3       ,40269       ,0.1       ,40269       ,19.9       ,40269       ,32.7       ,40269       ,12.3       ,40269       ,1.5
40270       ,117055.9       ,40270       ,13.57       ,40270       ,10.4       ,40270       ,19.9       ,40270       ,3.1       ,40270       ,0.6       ,40270       ,0.1       ,40270       ,21.8       ,40270       ,26.2       ,40270       ,11.9       ,40270       ,1.5
40271       ,115038.3       ,40271       ,11.09       ,40271       ,8.1       ,40271       ,17.5       ,40271       ,2.7       ,40271       ,0.3       ,40271       ,0.1       ,40271       ,18.1       ,40271       ,26.2       ,40271       ,12.3       ,40271       ,1.7
40272       ,114065.5       ,40272       ,16.08       ,40272       ,13.9       ,40272       ,20.9       ,40272       ,2.8       ,40272       ,0.5       ,40272       ,0.0       ,40272       ,17.5       ,40272       ,25.0       ,40272       ,11.9       ,40272       ,1.7
40273       ,115837.0       ,40273       ,18.01       ,40273       ,15.6       ,40273       ,17.3       ,40273       ,0.8       ,40273       ,0.4       ,40273       ,0.1       ,40273       ,21.2       ,40273       ,24.6       ,40273       ,12.3       ,40273       ,1.7
40274       ,117801.6       ,40274       ,17.86       ,40274       ,12.9       ,40274       ,23.7       ,40274       ,3.8       ,40274       ,0.5       ,40274       ,0.1       ,40274       ,22.8       ,40274       ,25.7       ,40274       ,13.8       ,40274       ,1.7
40275       ,114780.9       ,40275       ,22.34       ,40275       ,14.5       ,40275       ,21.2       ,40275       ,3.5       ,40275       ,0.5       ,40275       ,0.1       ,40275       ,27.7       ,40275       ,40.9       ,40275       ,13.2       ,40275       ,1.7
40276       ,121094.9       ,40276       ,9.31       ,40276       ,7.5       ,40276       ,20.6       ,40276       ,5.2       ,40276       ,0.5       ,40276       ,0.1       ,40276       ,30.1       ,40276       ,21.6       ,40276       ,13.4       ,40276       ,2.1
40277       ,142361.3       ,40277       ,11.80       ,40277       ,9.5       ,40277       ,25.3       ,40277       ,5.7       ,40277       ,0.7       ,40277       ,0.1       ,40277       ,21.5       ,40277       ,26.2       ,40277       ,9.9       ,40277       ,2.0
40278       ,110548.8       ,40278       ,10.64       ,40278       ,9.1       ,40278       ,14.9       ,40278       ,2.4       ,40278       ,0.3       ,40278       ,0.1       ,40278       ,22.9       ,40278       ,26.2       ,40278       ,13.1       ,40278       ,2.1
40279       ,98616.6       ,40279       ,8.42       ,40279       ,6.8       ,40279       ,15.2       ,40279       ,2.4       ,40279       ,0.4       ,40279       ,0.1       ,40279       ,28.4       ,40279       ,22.4       ,40279       ,12.3       ,40279       ,1.9
40280       ,111631.4       ,40280       ,17.00       ,40280       ,14.8       ,40280       ,15.6       ,40280       ,1.0       ,40280       ,0.4       ,40280       ,0.1       ,40280       ,27.9       ,40280       ,46.2       ,40280       ,13.0       ,40280       ,2.0
40281       ,113792.9       ,40281       ,12.26       ,40281       ,10.1       ,40281       ,39.6       ,40281       ,2.0       ,40281       ,0.5       ,40281       ,0.2       ,40281       ,32.4       ,40281       ,25.7       ,40281       ,14.7       ,40281       ,2.4
40282       ,100750.1       ,40282       ,14.68       ,40282       ,8.6       ,40282       ,38.8       ,40282       ,20.4       ,40282       ,1.6       ,40282       ,0.6       ,40282       ,34.5       ,40282       ,26.6       ,40282       ,15.8       ,40282       ,1.7
40283       ,93313.3       ,40283       ,8.85       ,40283       ,7.5       ,40283       ,11.7       ,40283       ,0.4       ,40283       ,0.5       ,40283       ,0.1       ,40283       ,32.8       ,40283       ,12.9       ,40283       ,18.3       ,40283       ,2.1
40284       ,92619.3       ,40284       ,12.89       ,40284       ,10.3       ,40284       ,14.5       ,40284       ,2.7       ,40284       ,0.4       ,40284       ,0.1       ,40284       ,33.1       ,40284       ,26.2       ,40284       ,15.1       ,40284       ,2.7
40285       ,89701.4       ,40285       ,6.31       ,40285       ,3.5       ,40285       ,14.6       ,40285       ,2.6       ,40285       ,0.4       ,40285       ,0.1       ,40285       ,28.2       ,40285       ,26.2       ,40285       ,14.3       ,40285       ,2.6
40286       ,90603.5       ,40286       ,13.15       ,40286       ,9.6       ,40286       ,10.8       ,40286       ,2.4       ,40286       ,0.4       ,40286       ,0.1       ,40286       ,28.3       ,40286       ,23.1       ,40286       ,13.5       ,40286       ,2.6
40287       ,92556.2       ,40287       ,11.84       ,40287       ,10.1       ,40287       ,15.4       ,40287       ,5.2       ,40287       ,0.5       ,40287       ,0.1       ,40287       ,31.5       ,40287       ,24.7       ,40287       ,14.2       ,40287       ,2.6
40288       ,90818.1       ,40288       ,17.29       ,40288       ,12.4       ,40288       ,18.6       ,40288       ,2.0       ,40288       ,0.4       ,40288       ,0.1       ,40288       ,34.4       ,40288       ,20.7       ,40288       ,15.7       ,40288       ,2.2
40289       ,102316.2       ,40289       ,15.72       ,40289       ,13.7       ,40289       ,18.3       ,40289       ,5.0       ,40289       ,0.5       ,40289       ,0.1       ,40289       ,33.7       ,40289       ,19.9       ,40289       ,15.3       ,40289       ,2.4
40290       ,91001.0       ,40290       ,7.00       ,40290       ,5.4       ,40290       ,20.8       ,40290       ,3.1       ,40290       ,0.5       ,40290       ,0.1       ,40290       ,27.8       ,40290       ,21.6       ,40290       ,13.5       ,40290       ,2.3
40291       ,89180.9       ,40291       ,8.69       ,40291       ,5.7       ,40291       ,15.4       ,40291       ,6.1       ,40291       ,1.0       ,40291       ,0.1       ,40291       ,43.5       ,40291       ,26.2       ,40291       ,15.0       ,40291       ,2.4
40292       ,87013.7       ,40292       ,15.75       ,40292       ,11.6       ,40292       ,14.6       ,40292       ,7.6       ,40292       ,0.4       ,40292       ,0.1       ,40292       ,34.0       ,40292       ,26.2       ,40292       ,14.9       ,40292       ,2.6
40293       ,93515.2       ,40293       ,13.68       ,40293       ,8.3       ,40293       ,15.9       ,40293       ,1.0       ,40293       ,0.5       ,40293       ,0.1       ,40293       ,33.5       ,40293       ,20.8       ,40293       ,13.7       ,40293       ,2.4
40294       ,103747.5       ,40294       ,14.34       ,40294       ,12.2       ,40294       ,16.7       ,40294       ,2.6       ,40294       ,0.4       ,40294       ,0.1       ,40294       ,28.5       ,40294       ,27.3       ,40294       ,13.9       ,40294       ,2.4
40295       ,100237.4       ,40295       ,10.80       ,40295       ,8.8       ,40295       ,15.7       ,40295       ,3.6       ,40295       ,0.5       ,40295       ,0.1       ,40295       ,28.1       ,40295       ,21.5       ,40295       ,14.4       ,40295       ,1.8
40296       ,98509.9       ,40296       ,9.70       ,40296       ,7.3       ,40296       ,15.6       ,40296       ,4.6       ,40296       ,0.5       ,40296       ,0.1       ,40296       ,25.0       ,40296       ,27.8       ,40296       ,15.1       ,40296       ,1.7
40297       ,96596.5       ,40297       ,23.69       ,40297       ,18.5       ,40297       ,17.1       ,40297       ,3.0       ,40297       ,1.0       ,40297       ,0.1       ,40297       ,32.6       ,40297       ,22.7       ,40297       ,15.1       ,40297       ,2.1
40298       ,96414.1       ,40298       ,18.68       ,40298       ,12.7       ,40298       ,26.7       ,40298       ,4.7       ,40298       ,0.5       ,40298       ,0.1       ,40298       ,47.4       ,40298       ,26.2       ,40298       ,14.7       ,40298       ,1.8
40299       ,93822.9       ,40299       ,16.55       ,40299       ,14.5       ,40299       ,26.1       ,40299       ,5.7       ,40299       ,0.5       ,40299       ,0.1       ,40299       ,32.4       ,40299       ,26.2       ,40299       ,15.5       ,40299       ,1.6
40300       ,94380.3       ,40300       ,24.06       ,40300       ,19.7       ,40300       ,37.8       ,40300       ,15.6       ,40300       ,0.8       ,40300       ,0.2       ,40300       ,33.0       ,40300       ,38.7       ,40300       ,15.3       ,40300       ,2.4
40301       ,115114.0       ,40301       ,24.89       ,40301       ,21.5       ,40301       ,30.6       ,40301       ,5.5       ,40301       ,0.8       ,40301       ,0.2       ,40301       ,35.2       ,40301       ,18.4       ,40301       ,13.4       ,40301       ,1.8
40302       ,98854.0       ,40302       ,37.51       ,40302       ,31.8       ,40302       ,33.3       ,40302       ,4.2       ,40302       ,1.3       ,40302       ,0.1       ,40302       ,42.9       ,40302       ,24.9       ,40302       ,13.0       ,40302       ,1.4
40303       ,93289.5       ,40303       ,21.10       ,40303       ,19.1       ,40303       ,30.9       ,40303       ,3.8       ,40303       ,1.2       ,40303       ,0.1       ,40303       ,44.3       ,40303       ,29.1       ,40303       ,16.7       ,40303       ,1.1
40304       ,92611.5       ,40304       ,20.77       ,40304       ,17.9       ,40304       ,24.3       ,40304       ,5.9       ,40304       ,0.9       ,40304       ,0.2       ,40304       ,42.8       ,40304       ,34.8       ,40304       ,17.1       ,40304       ,1.4
40305       ,94081.0       ,40305       ,17.08       ,40305       ,7.6       ,40305       ,12.9       ,40305       ,4.1       ,40305       ,0.6       ,40305       ,0.1       ,40305       ,42.3       ,40305       ,26.2       ,40305       ,14.5       ,40305       ,1.8
40306       ,90619.0       ,40306       ,14.52       ,40306       ,8.4       ,40306       ,25.6       ,40306       ,4.8       ,40306       ,0.6       ,40306       ,0.2       ,40306       ,31.2       ,40306       ,26.2       ,40306       ,15.6       ,40306       ,1.8
40307       ,87174.3       ,40307       ,4.41       ,40307       ,2.8       ,40307       ,17.2       ,40307       ,3.7       ,40307       ,0.4       ,40307       ,0.1       ,40307       ,40.1       ,40307       ,24.4       ,40307       ,15.1       ,40307       ,1.7
40308       ,95485.0       ,40308       ,16.61       ,40308       ,28.9       ,40308       ,19.9       ,40308       ,3.2       ,40308       ,0.4       ,40308       ,0.1       ,40308       ,34.6       ,40308       ,24.4       ,40308       ,15.9       ,40308       ,1.6
40309       ,100619.4       ,40309       ,23.45       ,40309       ,17.9       ,40309       ,22.5       ,40309       ,3.9       ,40309       ,0.6       ,40309       ,0.2       ,40309       ,37.7       ,40309       ,33.0       ,40309       ,18.0       ,40309       ,1.7
40310       ,100722.6       ,40310       ,13.29       ,40310       ,11.3       ,40310       ,30.0       ,40310       ,4.9       ,40310       ,0.7       ,40310       ,0.2       ,40310       ,36.1       ,40310       ,29.4       ,40310       ,15.8       ,40310       ,1.6
40311       ,97030.1       ,40311       ,18.73       ,40311       ,16.7       ,40311       ,24.4       ,40311       ,4.2       ,40311       ,0.6       ,40311       ,0.1       ,40311       ,34.0       ,40311       ,30.4       ,40311       ,14.6       ,40311       ,1.2
40312       ,103114.3       ,40312       ,12.41       ,40312       ,10.7       ,40312       ,27.7       ,40312       ,4.1       ,40312       ,0.4       ,40312       ,0.2       ,40312       ,34.1       ,40312       ,26.2       ,40312       ,15.5       ,40312       ,1.1
40313       ,99831.3       ,40313       ,14.48       ,40313       ,11.9       ,40313       ,19.9       ,40313       ,2.8       ,40313       ,0.4       ,40313       ,0.1       ,40313       ,26.0       ,40313       ,26.2       ,40313       ,11.4       ,40313       ,1.4
40314       ,94879.3       ,40314       ,12.65       ,40314       ,11.1       ,40314       ,15.2       ,40314       ,0.9       ,40314       ,0.3       ,40314       ,0.1       ,40314       ,27.9       ,40314       ,28.4       ,40314       ,12.2       ,40314       ,1.5
