//time         ,Q            ,time       ,TSS         ,time        ,VSS       ,time        ,BOD         ,time       ,sBOD       ,time       ,TP        ,time       ,TSP        ,time       ,TKN       ,time       ,sCOD       ,time       ,NH3       ,time       ,NO3
//          ,m^3/day           ,         ,mg/L        ,            ,mg/L       ,           ,mg/L        ,           ,mg/L       ,           ,mg/L       ,          ,mg/L       ,            ,mg/L       ,         ,mg/L       ,           ,mg/L       ,          ,mg/L
40315       ,106872.2       ,40315       ,13.61       ,40315       ,11.3       ,40315       ,16.2       ,40315       ,3.1       ,40315       ,0.3       ,40315       ,0.1       ,40315       ,24.6       ,40315       ,25.3       ,40315       ,14.1       ,40315       ,1.5
40316       ,104848.7       ,40316       ,18.02       ,40316       ,11.3       ,40316       ,17.9       ,40316       ,6.1       ,40316       ,0.3       ,40316       ,0.1       ,40316       ,22.7       ,40316       ,22.7       ,40316       ,12.1       ,40316       ,1.3
40317       ,86179.8       ,40317       ,5.44       ,40317       ,4.1       ,40317       ,13.6       ,40317       ,1.4       ,40317       ,0.3       ,40317       ,0.1       ,40317       ,35.3       ,40317       ,21.7       ,40317       ,14.4       ,40317       ,1.3
40318       ,83244.1       ,40318       ,7.42       ,40318       ,6.4       ,40318       ,21.8       ,40318       ,4.1       ,40318       ,0.3       ,40318       ,0.1       ,40318       ,27.2       ,40318       ,24.2       ,40318       ,16.6       ,40318       ,1.4
40319       ,84458.6       ,40319       ,8.42       ,40319       ,6.8       ,40319       ,15.6       ,40319       ,3.6       ,40319       ,0.4       ,40319       ,0.1       ,40319       ,31.6       ,40319       ,26.2       ,40319       ,17.5       ,40319       ,1.2
40320       ,82480.7       ,40320       ,8.48       ,40320       ,6.5       ,40320       ,18.0       ,40320       ,4.0       ,40320       ,0.4       ,40320       ,0.1       ,40320       ,26.7       ,40320       ,26.2       ,40320       ,17.4       ,40320       ,1.4
40321       ,112858.5       ,40321       ,15.08       ,40321       ,12.3       ,40321       ,26.4       ,40321       ,5.2       ,40321       ,0.5       ,40321       ,0.1       ,40321       ,22.3       ,40321       ,25.7       ,40321       ,13.2       ,40321       ,1.2
40322       ,89139.9       ,40322       ,9.50       ,40322       ,3.3       ,40322       ,17.3       ,40322       ,4.0       ,40322       ,0.3       ,40322       ,0.1       ,40322       ,27.5       ,40322       ,23.0       ,40322       ,14.5       ,40322       ,1.2
40323       ,85941.2       ,40323       ,19.68       ,40323       ,15.0       ,40323       ,25.4       ,40323       ,3.8       ,40323       ,0.4       ,40323       ,0.1       ,40323       ,29.7       ,40323       ,17.9       ,40323       ,17.0       ,40323       ,1.3
40324       ,95257.9       ,40324       ,17.13       ,40324       ,12.4       ,40324       ,21.6       ,40324       ,6.2       ,40324       ,0.4       ,40324       ,0.1       ,40324       ,29.0       ,40324       ,26.2       ,40324       ,17.2       ,40324       ,1.2
40325       ,95963.3       ,40325       ,12.58       ,40325       ,10.3       ,40325       ,16.7       ,40325       ,5.0       ,40325       ,0.4       ,40325       ,0.1       ,40325       ,30.2       ,40325       ,16.3       ,40325       ,17.5       ,40325       ,1.4
40326       ,104239.6       ,40326       ,17.74       ,40326       ,13.9       ,40326       ,20.5       ,40326       ,3.4       ,40326       ,0.5       ,40326       ,0.2       ,40326       ,25.9       ,40326       ,26.2       ,40326       ,16.0       ,40326       ,1.2
40327       ,92769.5       ,40327       ,8.25       ,40327       ,6.9       ,40327       ,17.5       ,40327       ,3.6       ,40327       ,0.4       ,40327       ,0.1       ,40327       ,24.4       ,40327       ,26.2       ,40327       ,15.6       ,40327       ,1.2
40328       ,86362.2       ,40328       ,6.74       ,40328       ,4.7       ,40328       ,15.0       ,40328       ,4.5       ,40328       ,0.4       ,40328       ,0.1       ,40328       ,30.7       ,40328       ,28.1       ,40328       ,16.3       ,40328       ,1.0
40329       ,83310.3       ,40329       ,7.62       ,40329       ,6.6       ,40329       ,12.6       ,40329       ,3.0       ,40329       ,0.3       ,40329       ,0.1       ,40329       ,25.0       ,40329       ,31.9       ,40329       ,16.6       ,40329       ,1.0
40330       ,102587.8       ,40330       ,14.22       ,40330       ,9.7       ,40330       ,15.5       ,40330       ,3.5       ,40330       ,0.7       ,40330       ,0.2       ,40330       ,35.9       ,40330       ,29.4       ,40330       ,16.4       ,40330       ,1.3
40331       ,92776.7       ,40331       ,17.51       ,40331       ,8.2       ,40331       ,18.4       ,40331       ,4.9       ,40331       ,0.6       ,40331       ,0.3       ,40331       ,28.8       ,40331       ,44.8       ,40331       ,16.5       ,40331       ,1.2
40332       ,98048.7       ,40332       ,12.33       ,40332       ,10.3       ,40332       ,13.2       ,40332       ,3.6       ,40332       ,0.4       ,40332       ,0.2       ,40332       ,26.0       ,40332       ,28.5       ,40332       ,18.8       ,40332       ,1.1
40333       ,97759.7       ,40333       ,13.82       ,40333       ,11.8       ,40333       ,13.1       ,40333       ,4.2       ,40333       ,0.3       ,40333       ,0.1       ,40333       ,25.9       ,40333       ,26.2       ,40333       ,14.9       ,40333       ,1.1
40334       ,94284.0       ,40334       ,18.78       ,40334       ,14.0       ,40334       ,13.3       ,40334       ,3.0       ,40334       ,0.4       ,40334       ,0.1       ,40334       ,35.4       ,40334       ,26.2       ,40334       ,15.7       ,40334       ,1.2
40335       ,97174.7       ,40335       ,3.66       ,40335       ,1.7       ,40335       ,13.6       ,40335       ,3.5       ,40335       ,0.3       ,40335       ,0.0       ,40335       ,25.4       ,40335       ,19.9       ,40335       ,14.9       ,40335       ,1.2
40336       ,95134.0       ,40336       ,18.53       ,40336       ,16.5       ,40336       ,12.6       ,40336       ,3.2       ,40336       ,0.8       ,40336       ,0.1       ,40336       ,28.8       ,40336       ,21.6       ,40336       ,14.7       ,40336       ,1.0
40337       ,92353.4       ,40337       ,11.44       ,40337       ,9.6       ,40337       ,11.5       ,40337       ,1.1       ,40337       ,0.2       ,40337       ,0.1       ,40337       ,23.9       ,40337       ,22.4       ,40337       ,16.3       ,40337       ,1.7
40338       ,95340.5       ,40338       ,29.14       ,40338       ,15.5       ,40338       ,15.6       ,40338       ,1.2       ,40338       ,0.4       ,40338       ,0.0       ,40338       ,29.1       ,40338       ,21.1       ,40338       ,17.6       ,40338       ,1.7
40339       ,93729.9       ,40339       ,10.16       ,40339       ,9.2       ,40339       ,15.7       ,40339       ,2.8       ,40339       ,0.4       ,40339       ,0.1       ,40339       ,28.5       ,40339       ,17.8       ,40339       ,18.8       ,40339       ,1.4
40340       ,88953.5       ,40340       ,8.29       ,40340       ,6.6       ,40340       ,18.2       ,40340       ,4.4       ,40340       ,0.3       ,40340       ,0.1       ,40340       ,30.0       ,40340       ,26.2       ,40340       ,18.1       ,40340       ,1.1
40341       ,93007.3       ,40341       ,17.73       ,40341       ,14.1       ,40341       ,24.8       ,40341       ,6.0       ,40341       ,0.5       ,40341       ,0.1       ,40341       ,25.9       ,40341       ,26.2       ,40341       ,17.5       ,40341       ,1.5
40342       ,91634.2       ,40342       ,14.34       ,40342       ,10.3       ,40342       ,15.5       ,40342       ,3.5       ,40342       ,0.4       ,40342       ,0.1       ,40342       ,39.1       ,40342       ,21.4       ,40342       ,16.4       ,40342       ,1.3
40343       ,98668.2       ,40343       ,11.88       ,40343       ,10.1       ,40343       ,22.1       ,40343       ,6.1       ,40343       ,0.3       ,40343       ,0.1       ,40343       ,24.7       ,40343       ,24.1       ,40343       ,15.7       ,40343       ,1.5
40344       ,97656.4       ,40344       ,18.82       ,40344       ,12.4       ,40344       ,23.0       ,40344       ,4.2       ,40344       ,0.4       ,40344       ,0.1       ,40344       ,27.8       ,40344       ,26.5       ,40344       ,16.3       ,40344       ,1.7
40345       ,94803.6       ,40345       ,18.34       ,40345       ,15.2       ,40345       ,22.3       ,40345       ,4.6       ,40345       ,0.4       ,40345       ,0.1       ,40345       ,30.5       ,40345       ,19.8       ,40345       ,17.7       ,40345       ,1.9
40346       ,96644.7       ,40346       ,10.85       ,40346       ,9.8       ,40346       ,19.2       ,40346       ,4.5       ,40346       ,0.5       ,40346       ,0.1       ,40346       ,46.7       ,40346       ,23.5       ,40346       ,16.8       ,40346       ,1.8
40347       ,91740.9       ,40347       ,10.28       ,40347       ,9.4       ,40347       ,19.4       ,40347       ,4.5       ,40347       ,0.3       ,40347       ,0.1       ,40347       ,27.9       ,40347       ,26.2       ,40347       ,17.7       ,40347       ,1.7
40348       ,86816.4       ,40348       ,11.07       ,40348       ,9.0       ,40348       ,15.4       ,40348       ,4.3       ,40348       ,0.2       ,40348       ,0.0       ,40348       ,19.8       ,40348       ,26.2       ,40348       ,17.2       ,40348       ,1.7
40349       ,86190.1       ,40349       ,13.28       ,40349       ,10.7       ,40349       ,16.6       ,40349       ,4.4       ,40349       ,0.3       ,40349       ,0.1       ,40349       ,28.5       ,40349       ,21.1       ,40349       ,16.6       ,40349       ,1.2
40350       ,92859.3       ,40350       ,9.99       ,40350       ,8.5       ,40350       ,27.0       ,40350       ,6.3       ,40350       ,0.3       ,40350       ,0.1       ,40350       ,24.4       ,40350       ,24.2       ,40350       ,15.7       ,40350       ,1.8
40351       ,95722.4       ,40351       ,13.06       ,40351       ,11.1       ,40351       ,17.5       ,40351       ,5.2       ,40351       ,0.3       ,40351       ,0.1       ,40351       ,29.2       ,40351       ,26.6       ,40351       ,19.4       ,40351       ,2.1
40352       ,95151.2       ,40352       ,14.98       ,40352       ,12.3       ,40352       ,15.9       ,40352       ,4.3       ,40352       ,0.3       ,40352       ,0.1       ,40352       ,27.0       ,40352       ,26.7       ,40352       ,18.2       ,40352       ,1.9
40353       ,94390.7       ,40353       ,10.67       ,40353       ,9.7       ,40353       ,15.2       ,40353       ,3.2       ,40353       ,0.4       ,40353       ,0.1       ,40353       ,25.5       ,40353       ,17.0       ,40353       ,17.4       ,40353       ,1.8
40354       ,91882.0       ,40354       ,9.59       ,40354       ,7.6       ,40354       ,17.8       ,40354       ,4.7       ,40354       ,0.4       ,40354       ,0.1       ,40354       ,25.5       ,40354       ,26.2       ,40354       ,17.2       ,40354       ,1.5
40355       ,89256.3       ,40355       ,12.26       ,40355       ,11.4       ,40355       ,18.0       ,40355       ,4.1       ,40355       ,0.4       ,40355       ,0.1       ,40355       ,29.8       ,40355       ,26.2       ,40355       ,18.0       ,40355       ,1.7
40356       ,90003.0       ,40356       ,17.99       ,40356       ,15.6       ,40356       ,43.4       ,40356       ,5.8       ,40356       ,0.5       ,40356       ,0.1       ,40356       ,37.6       ,40356       ,32.3       ,40356       ,17.7       ,40356       ,1.3
40357       ,111390.6       ,40357       ,16.95       ,40357       ,14.0       ,40357       ,22.0       ,40357       ,5.8       ,40357       ,0.5       ,40357       ,0.1       ,40357       ,25.0       ,40357       ,28.6       ,40357       ,17.6       ,40357       ,0.9
40358       ,95963.3       ,40358       ,15.99       ,40358       ,13.1       ,40358       ,28.4       ,40358       ,5.0       ,40358       ,0.5       ,40358       ,0.1       ,40358       ,27.2       ,40358       ,22.0       ,40358       ,14.6       ,40358       ,0.9
40359       ,91176.5       ,40359       ,18.24       ,40359       ,11.2       ,40359       ,20.2       ,40359       ,3.9       ,40359       ,0.4       ,40359       ,0.1       ,40359       ,28.7       ,40359       ,26.2       ,40359       ,15.7       ,40359       ,1.4
